Aesthetic Appreciation and Spanish Art:	['3', '0', '4', '3', '-1', '-2']	['amod', 'root', 'cc', 'amod', 'conj', 'punct']
"Her parents separated permanently while Moreau was at the conservatory and her mother, ""after 24 difficult years in France, returned to England with Jeanne's [6] sister, Michelle."" [6]"	['3', '3', '0', '1', '7', '6', '5', '4', '3', '-5', '14', '3', '12', '1', '10', '5', '4', '3', '6', '3', '0', '-1', '-18', '3', '0', '8', '7', '1', '3', '-1', '1', '-7', '3', '0', '-10', '-11', '3', '-33', '1']	['nmod:poss', 'nsubj', 'root', 'advmod', 'mark', 'nsubj', 'cop', 'case', 'det', 'advcl', 'cc', 'nmod:poss', 'nsubj', 'punct', 'punct', 'case', 'nummod', 'amod', 'obl', 'case', 'nmod', 'punct', 'conj', 'case', 'obl', 'case', 'nmod:poss', 'case', 'punct', 'parataxis', 'punct', 'obl', 'punct', 'appos', 'punct', 'punct', 'punct', 'dep', 'punct']
Career	['0']	['root']
In 1947, Moreau made her theatrical debut at the Avignon Festival.	['3', '5', '1', '3', '0', '4', '3', '-1', '5', '4', '3', '-5', '-6']	['case', 'obl', 'punct', 'nsubj', 'root', 'nmod:poss', 'amod', 'obj', 'case', 'det', 'compound', 'obl', 'punct']
She debuted at the Comédie-Française in Ivan Turgenev's A Month in the Country [6] and, by her 20s, was already one of leading actresses in the theatre's troupe. [2]	['3', '0', '4', '3', '-1', '7', '6', '1', '0', '3', '-7', '4', '3', '-1', '3', '-12', '1', '10', '1', '4', '3', '6', '1', '4', '3', '-22', '4', '3', '-1', '6', '3', '4', '1', '-3', '-31', '3', '-33', '1']	['nsubj', 'root', 'case', 'det', 'obl', 'case', 'nmod:poss', 'flat', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'punct', 'dep', 'punct', 'cc', 'punct', 'case', 'nmod:poss', 'obl', 'punct', 'cop', 'advmod', 'conj', 'case', 'amod', 'nmod', 'case', 'det', 'nmod:poss', 'case', 'nmod', 'punct', 'punct', 'dep', 'punct']
After 1949, she began appearing in films with small parts but continued primarily active in the theatre for several years — a year at the Théâtre National Populaire opposite among others Gérard Philipe and Robert Hirsch, then a breakout two years in dual roles in The Dazzling Hour by Anna Bonacci, then Jean Cocteau's La Machine Infernale and others before another two-year run, this time in Shaw's Pygmalion. [6]	['3', '5', '1', '3', '0', '1', '3', '0', '4', '3', '-3', '3', '-6', '3', '0', '4', '3', '-1', '4', '3', '-6', '4', '3', '-1', '4', '3', '-1', '1', '0', '-4', '3', '3', '-1', '1', '3', '-1', '1', '7', '6', '5', '4', '3', '-17', '4', '3', '-1', '5', '4', '3', '-2', '3', '0', '1', '7', '6', '3', '4', '1', '-33', '1', '0', '3', '-2', '5', '4', '3', '-6', '8', '3', '6', '5', '4', '1', '-5', '-68', '3', '-70', '1']	['case', 'obl', 'punct', 'nsubj', 'root', 'xcomp', 'case', 'obl', 'case', 'amod', 'obl', 'cc', 'conj', 'advmod', 'xcomp', 'case', 'det', 'obl', 'case', 'amod', 'obl', 'punct', 'det', 'appos', 'case', 'det', 'nmod', 'flat', 'flat', 'nmod', 'case', 'nmod', 'obl', 'flat', 'cc', 'conj', 'flat', 'punct', 'advmod', 'det', 'amod', 'nummod', 'conj', 'case', 'amod', 'nmod', 'case', 'det', 'amod', 'nmod', 'case', 'nmod', 'flat', 'punct', 'advmod', 'compound', 'nmod:poss', 'case', 'conj', 'flat', 'flat', 'cc', 'conj', 'case', 'det', 'amod', 'nmod', 'punct', 'det', 'obl:npmod', 'case', 'nmod:poss', 'case', 'nmod', 'punct', 'punct', 'dep', 'punct']
From the late 1950s, after appearing in several successful films, she began to work with the emerging generation of French film-makers.	['5', '4', '3', '12', '1', '3', '9', '5', '4', '3', '-2', '-3', '3', '0', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '-8']	['case', 'det', 'amod', 'obl', 'punct', 'mark', 'advcl', 'case', 'amod', 'amod', 'obl', 'punct', 'nsubj', 'root', 'mark', 'xcomp', 'case', 'det', 'amod', 'obl', 'case', 'amod', 'nmod', 'punct']
Elevator to the Gallows (1958) with first-time director Louis Malle was followed by Malle's The Lovers (Les Amants, 1959). [7]	['15', '4', '3', '-1', '3', '-3', '1', '4', '3', '-7', '1', '0', '3', '0', '6', '5', '1', '3', '-3', '3', '0', '1', '3', '-1', '-2', '-10', '3', '-12', '1']	['nsubj:pass', 'case', 'det', 'nmod', 'punct', 'nmod:tmod', 'punct', 'case', 'amod', 'nmod', 'flat', 'flat', 'aux:pass', 'root', 'case', 'nmod:poss', 'case', 'det', 'obl', 'punct', 'appos', 'flat', 'punct', 'nmod:tmod', 'punct', 'punct', 'punct', 'dep', 'punct']
Moreau went on to work with many of the best known New Wave and avant-garde directors. [2]	['3', '0', '1', '3', '-1', '3', '0', '10', '9', '3', '7', '3', '5', '3', '0', '-7', '-13', '3', '-15', '1']	['nsubj', 'root', 'compound:prt', 'mark', 'xcomp', 'case', 'obl', 'case', 'det', 'advmod', 'amod', 'amod', 'compound', 'cc', 'conj', 'nmod', 'punct', 'punct', 'dep', 'punct']
François Truffaut's New Wave film Jules et Jim (1962), her biggest success internationally, is centered on her magnetic starring role. [2]	['7', '1', '0', '3', '3', '16', '1', '1', '0', '3', '-2', '1', '5', '4', '3', '-8', '1', '-10', '3', '0', '6', '5', '4', '3', '-3', '-4', '3', '-6', '1']	['nmod:poss', 'flat', 'case', 'amod', 'compound', 'nsubj:pass', 'appos', 'flat', 'flat', 'punct', 'nmod:tmod', 'punct', 'punct', 'nmod:poss', 'amod', 'appos', 'advmod', 'punct', 'aux:pass', 'root', 'case', 'nmod:poss', 'amod', 'amod', 'obl', 'punct', 'punct', 'dep', 'punct']
She also worked with a number of other notable directors such as Michelangelo Antonioni (La notte and Beyond the Clouds), Orson Welles (The Trial, Chimes at Midnight and The Immortal Story), Luis Buñuel (Diary of a Chambermaid), Elia Kazan (The Last Tycoon), Rainer Werner Fassbinder (Querelle), Wim Wenders (Until the End of the World), Carl Foreman (Champion and The Victors), and Manoel de Oliveira (Gebo et l' Ombre).	['4', '3', '0', '4', '3', '-1', '5', '4', '3', '-2', '4', '1', '-1', '1', '3', '-1', '1', '5', '4', '3', '-3', '-4', '3', '-9', '1', '4', '3', '-2', '3', '0', '3', '0', '5', '4', '3', '-6', '-7', '3', '-24', '1', '3', '-1', '4', '3', '-1', '-2', '3', '-33', '1', '5', '4', '3', '-3', '1', '3', '-41', '1', '0', '3', '-2', '1', '3', '-48', '1', '5', '4', '3', '-3', '4', '3', '-1', '-2', '3', '-59', '1', '3', '-1', '4', '3', '-1', '-2', '4', '3', '-69', '1', '0', '3', '-2', '1', '0', '-1', '-2', '-88']	['nsubj', 'advmod', 'root', 'case', 'det', 'obl', 'case', 'amod', 'amod', 'nmod', 'case', 'fixed', 'nmod', 'flat', 'punct', 'parataxis', 'flat', 'cc', 'case', 'det', 'conj', 'punct', 'punct', 'conj', 'flat', 'punct', 'det', 'parataxis', 'punct', 'conj', 'case', 'nmod', 'cc', 'det', 'amod', 'conj', 'punct', 'punct', 'conj', 'flat', 'punct', 'parataxis', 'case', 'det', 'nmod', 'punct', 'punct', 'conj', 'flat', 'punct', 'det', 'amod', 'parataxis', 'punct', 'punct', 'conj', 'flat', 'flat', 'punct', 'parataxis', 'punct', 'punct', 'conj', 'flat', 'punct', 'case', 'det', 'parataxis', 'case', 'det', 'nmod', 'punct', 'punct', 'conj', 'flat', 'punct', 'parataxis', 'cc', 'det', 'conj', 'punct', 'punct', 'cc', 'conj', 'flat', 'flat', 'punct', 'parataxis', 'flat', 'flat', 'flat', 'punct', 'punct']
In 1983, she was head of the jury at the 33rd Berlin International Film Festival. [8]	['3', '6', '1', '4', '3', '0', '4', '3', '-1', '8', '7', '6', '5', '4', '3', '-8', '-9', '3', '-11', '1']	['case', 'obl', 'punct', 'nsubj', 'cop', 'root', 'case', 'det', 'nmod', 'case', 'det', 'amod', 'compound', 'amod', 'compound', 'obl', 'punct', 'punct', 'dep', 'punct']
In 2005, she was awarded with the Stanislavsky Award at the 27th Moscow International Film Festival. [9]	['3', '6', '1', '4', '3', '0', '5', '4', '3', '-2', '8', '7', '6', '5', '4', '3', '-9', '-10', '3', '-12', '1']	['case', 'obl', 'punct', 'nsubj:pass', 'aux:pass', 'root', 'case', 'det', 'compound', 'obl', 'case', 'det', 'amod', 'compound', 'amod', 'compound', 'obl', 'punct', 'punct', 'dep', 'punct']
Moreau was also a vocalist.	['6', '5', '4', '3', '0', '1']	['nsubj', 'cop', 'advmod', 'det', 'root', 'punct']
She released several albums and once performed with Frank Sinatra at Carnegie Hall in 1984. [2]	['3', '0', '3', '0', '4', '3', '-3', '3', '0', '1', '4', '3', '-4', '3', '-6', '-12', '3', '-14', '1']	['nsubj', 'root', 'amod', 'obj', 'cc', 'advmod', 'conj', 'case', 'obl', 'flat', 'case', 'compound', 'obl', 'case', 'obl', 'punct', 'punct', 'dep', 'punct']
In addition to acting, Moreau worked behind the camera as a writer, director and producer. [2]	['3', '7', '3', '0', '-1', '3', '0', '4', '3', '-1', '4', '3', '-4', '3', '0', '3', '-2', '-9', '3', '-11', '1']	['case', 'obl', 'case', 'nmod', 'punct', 'nsubj', 'root', 'case', 'det', 'obl', 'case', 'det', 'obl', 'punct', 'conj', 'cc', 'conj', 'punct', 'punct', 'dep', 'punct']
Her accomplishments were the subject of the film Calling the Shots (1988) by Janis Cole and Holly Dale. [citation needed]	['3', '5', '4', '3', '0', '4', '3', '-1', '1', '3', '0', '3', '-2', '1', '3', '-6', '1', '3', '-1', '1', '-14', '3', '-16', '1', '0']	['nmod:poss', 'nsubj', 'cop', 'det', 'root', 'case', 'det', 'nmod', 'appos', 'det', 'obj', 'punct', 'nmod:tmod', 'punct', 'case', 'nmod', 'flat', 'cc', 'conj', 'flat', 'punct', 'punct', 'dep', 'acl', 'punct']
Eugene Nida	['0', '1']	['root', 'flat']
Eugene A. Nida (November 11, 1914 – August 25, 2011) was a linguist who developed the dynamic-equivalence Bible-translation theory and one of the founders of the modern discipline of Translation Studies.	['18', '1', '0', '4', '3', '-3', '3', '-1', '4', '3', '-3', '3', '-1', '-6', '4', '3', '0', '3', '0', '5', '4', '3', '-2', '3', '-4', '4', '3', '-1', '5', '4', '3', '-2', '4', '3', '-1', '-17']	['nsubj', 'flat', 'flat', 'punct', 'compound', 'nmod:tmod', 'punct', 'nmod:tmod', 'case', 'compound', 'nmod', 'punct', 'nmod:tmod', 'punct', 'cop', 'det', 'root', 'nsubj', 'acl:relcl', 'det', 'compound', 'compound', 'obj', 'cc', 'conj', 'case', 'det', 'nmod', 'case', 'det', 'amod', 'nmod', 'case', 'compound', 'nmod', 'punct']
Life	['0']	['root']
Nida was born in Oklahoma City, Oklahoma on November 11, 1914.	['4', '3', '0', '3', '0', '1', '3', '-1', '4', '3', '-6', '3', '-1', '-9']	['nsubj:pass', 'aux:pass', 'root', 'case', 'obl', 'flat', 'punct', 'appos', 'case', 'compound', 'obl', 'punct', 'nmod:tmod', 'punct']
"He became a Christian at a young age, when he responded to the altar call at his church ""to accept Christ as my Saviour."""	['3', '0', '3', '0', '5', '4', '3', '-4', '5', '4', '3', '-8', '5', '4', '3', '-2', '4', '3', '-5', '4', '3', '-8', '1', '4', '3', '-1', '-3', '-4']	['nsubj', 'root', 'det', 'xcomp', 'case', 'det', 'amod', 'obl', 'punct', 'mark', 'nsubj', 'advcl', 'case', 'det', 'compound', 'obl', 'case', 'nmod:poss', 'obl', 'punct', 'mark', 'advcl', 'obj', 'case', 'nmod:poss', 'nmod', 'punct', 'punct']
He graduated summa cum laude from the University of California in 1936.	['3', '0', '4', '3', '-1', '4', '3', '-4', '3', '0', '3', '-8', '-9']	['nsubj', 'root', 'compound', 'compound', 'obj', 'case', 'det', 'obl', 'case', 'nmod', 'case', 'obl', 'punct']
After graduating he attended Camp Wycliffe, where Bible translation theory was taught.	['3', '4', '3', '0', '1', '1', '8', '7', '3', '3', '4', '3', '-6', '-8']	['mark', 'advcl', 'nsubj', 'root', 'obj', 'flat', 'punct', 'mark', 'compound', 'compound', 'nsubj:pass', 'aux:pass', 'acl:relcl', 'punct']
He ministered for a short time among the Tarahumara Indians in Chihuahua, Mexico, until health problems due to an inadequate diet and the high altitude forced him to leave.	['3', '0', '5', '4', '3', '-2', '5', '4', '3', '-6', '3', '-8', '3', '0', '15', '14', '3', '12', '6', '1', '4', '3', '-3', '5', '4', '3', '-2', '-24', '1', '3', '-1', '-28']	['nsubj', 'root', 'case', 'det', 'amod', 'obl', 'case', 'det', 'amod', 'obl', 'case', 'obl', 'punct', 'appos', 'punct', 'mark', 'compound', 'nsubj', 'case', 'fixed', 'det', 'amod', 'amod', 'cc', 'det', 'amod', 'conj', 'advcl', 'obj', 'mark', 'xcomp', 'punct']
Sometime in this period, Nida became a founding charter member of Wycliffe Bible Translators, a related organization to the Summer Institute of Linguistics.	['8', '4', '3', '-1', '-2', '3', '0', '5', '4', '3', '-2', '5', '4', '3', '-2', '5', '4', '3', '-2', '5', '4', '3', '-2', '3', '0', '-17']	['advmod', 'case', 'det', 'nmod', 'punct', 'nsubj', 'root', 'det', 'amod', 'compound', 'xcomp', 'case', 'compound', 'compound', 'nmod', 'punct', 'det', 'amod', 'appos', 'case', 'det', 'compound', 'nmod', 'case', 'nmod', 'punct']
In 1937, Nida undertook studies at the University of Southern California, where he obtained a master's degree in New Testament Greek in 1939.	['3', '5', '1', '3', '0', '1', '4', '3', '-2', '4', '3', '-1', '5', '4', '3', '-9', '3', '4', '1', '-2', '5', '3', '3', '-2', '3', '-8', '-20']	['case', 'obl', 'punct', 'nsubj', 'root', 'obj', 'case', 'det', 'obl', 'case', 'amod', 'nmod', 'punct', 'mark', 'nsubj', 'advcl', 'det', 'nmod:poss', 'case', 'obj', 'case', 'amod', 'compound', 'nmod', 'case', 'obl', 'punct']
In that same year he became interim pastor of Calvary Church of Santa Ana, California following the resignation of its founding pastor.	['5', '4', '3', '4', '3', '0', '3', '0', '4', '3', '-1', '4', '3', '-1', '3', '0', '-9', '3', '0', '5', '4', '3', '-2', '-16']	['case', 'det', 'amod', 'obl', 'nsubj', 'root', 'amod', 'xcomp', 'case', 'compound', 'nmod', 'case', 'compound', 'nmod', 'punct', 'appos', 'advcl', 'det', 'obj', 'case', 'nmod:poss', 'amod', 'nmod', 'punct']
Despite his conservative background, in later years Nida became increasingly ecumenical and New Evangelical (clarification needed) in his approach.	['5', '4', '3', '8', '1', '4', '3', '4', '3', '0', '3', '0', '4', '3', '-1', '3', '0', '1', '0', '4', '3', '-8', '-11']	['case', 'nmod:poss', 'amod', 'obl', 'punct', 'case', 'amod', 'obl', 'nsubj', 'root', 'advmod', 'xcomp', 'cc', 'compound', 'conj', 'punct', 'dep', 'acl', 'punct', 'case', 'nmod:poss', 'obl', 'punct']
In 1943, Nida received his Ph.D. in Linguistics from the University of Michigan.	['3', '5', '1', '3', '0', '3', '0', '3', '0', '4', '3', '-5', '3', '0', '-8']	['case', 'obl', 'punct', 'nsubj', 'root', 'nmod:poss', 'obj', 'case', 'nmod', 'case', 'det', 'obl', 'case', 'nmod', 'punct']
He was ordained as a Baptist minister.	['4', '3', '0', '5', '4', '3', '-2', '-3']	['nsubj:pass', 'aux:pass', 'root', 'case', 'det', 'compound', 'obl', 'punct']
He married Althea Lucille Sprague, who died in 1993.	['3', '0', '1', '1', '0', '4', '3', '-3', '3', '0', '-7']	['nsubj', 'root', 'obj', 'flat', 'flat', 'punct', 'nsubj', 'acl:relcl', 'case', 'obl', 'punct']
In 1997, he married María Elena Fernandez-Miranda, a lawyer and diplomatic attache.	['3', '5', '1', '3', '0', '1', '1', '0', '4', '3', '-3', '4', '3', '-1', '-8']	['case', 'obl', 'punct', 'nsubj', 'root', 'obj', 'flat', 'flat', 'punct', 'det', 'appos', 'cc', 'amod', 'conj', 'punct']
Nida retired in the early 1980s, although he continued to give lectures in universities all around the world, and lived in Alpine, Arizona, USA; Madrid, Spain and Brussels, Belgium.	['3', '0', '5', '4', '3', '-2', '5', '4', '3', '-6', '3', '0', '1', '3', '-1', '5', '4', '3', '-2', '4', '3', '-10', '3', '0', '3', '0', '3', '-2', '3', '-4', '3', '0', '3', '-8', '3', '0', '-33']	['nsubj', 'root', 'case', 'det', 'amod', 'obl', 'punct', 'mark', 'nsubj', 'advcl', 'mark', 'xcomp', 'obj', 'case', 'obl', 'advmod', 'case', 'det', 'nmod', 'punct', 'cc', 'conj', 'case', 'obl', 'punct', 'appos', 'punct', 'appos', 'punct', 'conj', 'punct', 'appos', 'cc', 'conj', 'punct', 'appos', 'punct']
He died in Madrid on August 25, 2011 aged 96.	['3', '0', '3', '0', '4', '3', '-3', '3', '-1', '-6', '1', '-8']	['nsubj', 'root', 'case', 'obl', 'case', 'compound', 'obl', 'punct', 'nmod:tmod', 'advcl', 'obj', 'punct']
Theories	['0']	['root']
Nida has been a pioneer in the fields of translation theory and linguistics.	['6', '5', '4', '3', '0', '4', '3', '-1', '4', '3', '-1', '3', '0', '-7']	['nsubj', 'aux', 'cop', 'det', 'root', 'case', 'det', 'nmod', 'case', 'compound', 'nmod', 'cc', 'conj', 'punct']
"His Ph.D. dissertation, A Synopsis of English Syntax, was the first full-scale analysis of a major language according to the ""immediate-constituent"" theory."	['4', '3', '14', '4', '3', '-1', '4', '3', '-1', '-5', '6', '5', '4', '3', '0', '5', '4', '3', '-2', '8', '1', '6', '3', '4', '1', '-9', '-10']	['nmod:poss', 'compound', 'nsubj', 'punct', 'det', 'appos', 'case', 'amod', 'nmod', 'punct', 'cop', 'det', 'amod', 'amod', 'root', 'case', 'det', 'amod', 'nmod', 'case', 'fixed', 'det', 'punct', 'amod', 'punct', 'nmod', 'punct']
His textbook Morphology: The Descriptive Analysis of Words was one of the major works of American Structuralism.	['3', '11', '1', '5', '4', '3', '-2', '3', '0', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '-6']	['nmod:poss', 'nsubj', 'appos', 'punct', 'det', 'compound', 'dep', 'case', 'nmod', 'cop', 'root', 'case', 'det', 'amod', 'nmod', 'case', 'amod', 'nmod', 'punct']
It remained the only thorough introduction to the field for decades and is still valuable for its many examples and exercises.	['3', '0', '5', '4', '3', '-2', '4', '3', '-1', '3', '-7', '5', '4', '3', '-11', '5', '4', '3', '-2', '3', '0', '-18']	['nsubj', 'root', 'det', 'amod', 'amod', 'xcomp', 'case', 'det', 'nmod', 'case', 'obl', 'cc', 'cop', 'advmod', 'conj', 'case', 'nmod:poss', 'amod', 'obl', 'cc', 'conj', 'punct']
His most notable contribution to translation theory is Dynamic Equivalence, also known as Functional Equivalence.	['5', '3', '3', '8', '4', '3', '-1', '4', '3', '0', '4', '3', '-1', '4', '3', '-1', '-5']	['nmod:poss', 'advmod', 'amod', 'nsubj', 'case', 'compound', 'nmod', 'cop', 'amod', 'root', 'punct', 'advmod', 'acl', 'case', 'amod', 'obl', 'punct']
"For more information, see ""Dynamic and formal equivalence."""	['4', '3', '4', '1', '0', '6', '5', '3', '0', '-3', '1', '0']	['case', 'amod', 'obl', 'punct', 'root', 'punct', 'amod', 'cc', 'conj', 'obj', 'punct', 'punct']
"Nida also developed the componential analysis technique, which split words into their components to help determine equivalence in translation (e.g. ""bachelor"" = male + unmarried)."	['4', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '1', '4', '3', '-2', '3', '-4', '1', '1', '3', '0', '7', '6', '3', '4', '1', '-6', '1', '3', '0', '-2', '-26']	['nsubj', 'advmod', 'root', 'det', 'amod', 'compound', 'obj', 'punct', 'nsubj', 'acl:relcl', 'obj', 'case', 'nmod:poss', 'obl', 'mark', 'advcl', 'xcomp', 'obj', 'case', 'nmod', 'punct', 'advmod', 'punct', 'nsubj', 'punct', 'appos', 'xcomp', 'cc', 'conj', 'punct', 'punct']
This is, perhaps, not the best example of the technique, though it is the most well-known.	['10', '9', '1', '7', '1', '5', '4', '3', '0', '4', '3', '-1', '8', '7', '6', '5', '4', '3', '-8', '-9']	['nsubj', 'cop', 'punct', 'advmod', 'punct', 'advmod', 'det', 'amod', 'root', 'case', 'det', 'nmod', 'punct', 'mark', 'nsubj', 'cop', 'det', 'advmod', 'advcl', 'punct']
Nida's dynamic-equivalence theory is often held in opposition to the views of philologists who maintain that an understanding of the source text (ST) can be achieved by assessing the inter-animation of words on the page, and that meaning is self-contained within the text (i.e. much more focused on achieving semantic equivalence).	['5', '1', '3', '5', '4', '3', '0', '3', '0', '4', '3', '-1', '3', '0', '3', '0', '14', '3', '12', '5', '4', '3', '-2', '3', '0', '1', '4', '3', '-11', '3', '0', '3', '0', '3', '0', '4', '3', '-1', '7', '6', '5', '4', '3', '-13', '4', '3', '-1', '6', '5', '3', '3', '-6', '3', '0', '3', '0', '-3', '-49']	['nmod:poss', 'case', 'compound', 'nsubj:pass', 'aux:pass', 'advmod', 'root', 'case', 'obl', 'case', 'det', 'nmod', 'case', 'nmod', 'nsubj', 'acl:relcl', 'mark', 'det', 'nsubj:pass', 'case', 'det', 'compound', 'nmod', 'punct', 'appos', 'punct', 'aux', 'aux:pass', 'ccomp', 'mark', 'advcl', 'det', 'obj', 'case', 'nmod', 'case', 'det', 'nmod', 'punct', 'cc', 'mark', 'nsubj', 'cop', 'conj', 'case', 'det', 'obl', 'punct', 'advmod', 'advmod', 'advmod', 'parataxis', 'mark', 'advcl', 'amod', 'obj', 'punct', 'punct']
"This theory, along with other theories of correspondence in translating, are elaborated in his essay Principles of Correspondence, where Nida begins by asserting that given that ""no two languages are identical, either in the meanings given to corresponding symbols or in the ways in which symbols are arranged in phrases and sentences, it stands to reason that there can be no absolute correspondence between languages."	['3', '14', '1', '12', '4', '3', '-1', '3', '0', '3', '-2', '-6', '3', '0', '4', '3', '-1', '1', '3', '0', '5', '4', '3', '-5', '3', '0', '3', '0', '8', '1', '4', '3', '4', '3', '-5', '6', '5', '4', '3', '-3', '5', '4', '3', '-2', '5', '4', '3', '-8', '3', '5', '4', '3', '-3', '3', '0', '3', '0', '4', '3', '-23', '3', '0', '8', '7', '6', '5', '4', '3', '-5', '3', '0', '-56']	['det', 'nsubj:pass', 'punct', 'advmod', 'case', 'amod', 'nmod', 'case', 'nmod', 'mark', 'acl', 'punct', 'aux:pass', 'root', 'case', 'nmod:poss', 'obl', 'appos', 'case', 'nmod', 'punct', 'mark', 'nsubj', 'acl:relcl', 'mark', 'advcl', 'mark', 'ccomp', 'mark', 'punct', 'det', 'nummod', 'nsubj', 'cop', 'ccomp', 'punct', 'cc:preconj', 'case', 'det', 'obl', 'mark', 'case', 'amod', 'advcl', 'cc', 'case', 'det', 'conj', 'case', 'obl', 'nsubj:pass', 'aux:pass', 'acl:relcl', 'case', 'obl', 'cc', 'conj', 'punct', 'nsubj', 'parataxis', 'mark', 'xcomp', 'mark', 'expl', 'aux', 'cop', 'det', 'amod', 'ccomp', 'case', 'nmod', 'punct']
"Hence, there can be no fully exact translations."""	['10', '1', '8', '7', '6', '5', '3', '3', '0', '1', '0']	['advmod', 'punct', 'expl', 'aux', 'cop', 'det', 'advmod', 'amod', 'root', 'punct', 'punct']
While the impact of a translation may be close to the original, there can be no identity in detail.	['10', '3', '8', '4', '3', '-1', '4', '3', '11', '4', '3', '-1', '-2', '6', '5', '4', '3', '0', '3', '0', '-1']	['mark', 'det', 'nsubj', 'case', 'det', 'nmod', 'aux', 'cop', 'advcl', 'case', 'det', 'obl', 'punct', 'expl', 'aux', 'cop', 'det', 'root', 'case', 'nmod', 'punct']
Nida then sets forth the differences in translation, as he would account for it, within three basic factors:	['4', '3', '0', '1', '3', '-1', '3', '0', '6', '5', '4', '3', '-8', '3', '0', '6', '5', '4', '3', '-5', '-16']	['nsubj', 'advmod', 'root', 'compound:prt', 'det', 'obj', 'case', 'nmod', 'punct', 'mark', 'nsubj', 'aux', 'advcl', 'case', 'obl', 'punct', 'case', 'nummod', 'amod', 'obl', 'punct']
The nature of the message:	['3', '0', '4', '3', '-1', '-2']	['det', 'root', 'case', 'det', 'nmod', 'punct']
in some messages the content is of primary consideration, and in others the form must be given a higher priority.	['4', '3', '4', '3', '6', '5', '4', '3', '0', '3', '-6', '3', '7', '3', '5', '4', '3', '-7', '4', '3', '-1', '-11']	['case', 'det', 'nmod', 'det', 'nsubj', 'cop', 'case', 'amod', 'root', 'punct', 'cc', 'case', 'obl', 'det', 'nsubj:pass', 'aux', 'aux:pass', 'conj', 'det', 'amod', 'obj', 'punct']
The purpose of the author and of the translator:	['3', '0', '4', '3', '-1', '5', '4', '3', '-4', '-6']	['det', 'root', 'case', 'det', 'nmod', 'cc', 'case', 'det', 'conj', 'punct']
to give information on both form and content;	['3', '0', '1', '4', '3', '-2', '3', '0', '-5']	['mark', 'root', 'obj', 'case', 'det', 'obl', 'cc', 'conj', 'punct']
to aim at full intelligibility of the reader so he / she may understand the full implications of the message;	['3', '0', '4', '3', '-1', '4', '3', '-1', '7', '6', '3', '0', '3', '-10', '4', '3', '-1', '4', '3', '-1', '-17']	['mark', 'root', 'case', 'amod', 'obl', 'case', 'det', 'nmod', 'mark', 'nsubj', 'cc', 'conj', 'aux', 'advcl', 'det', 'amod', 'obj', 'case', 'det', 'nmod', 'punct']
for imperative purposes that aim at not just understanding the translation but also at ensuring no misunderstanding of the translation.	['4', '3', '0', '3', '0', '5', '4', '3', '-2', '3', '0', '5', '4', '3', '-7', '3', '0', '4', '3', '-1', '-16']	['case', 'amod', 'root', 'nsubj', 'acl:relcl', 'mark', 'advmod', 'advmod', 'advcl', 'det', 'obj', 'cc', 'advmod', 'mark', 'conj', 'det', 'obj', 'case', 'det', 'nmod', 'punct']
The type of audience:	['3', '0', '3', '0', '-1']	['det', 'root', 'case', 'nmod', 'punct']
prospective audiences differ both in decoding ability and in potential interest.	['3', '3', '0', '4', '3', '-1', '1', '5', '4', '3', '-4', '-7']	['amod', 'nsubj', 'root', 'cc:preconj', 'mark', 'advcl', 'obj', 'cc', 'case', 'amod', 'conj', 'punct']
"Nida brings in the reminder that while there are no such things as ""identical equivalents"" in translating, what one must in translating seek to do is find the ""closest natural equivalent""."	['3', '0', '1', '3', '-1', '25', '4', '3', '22', '4', '3', '-1', '5', '4', '3', '-2', '1', '3', '-1', '-9', '9', '6', '5', '3', '5', '5', '3', '0', '-22', '1', '6', '5', '4', '3', '-3', '1', '-33']	['nsubj', 'root', 'compound:prt', 'det', 'obj', 'mark', 'mark', 'expl', 'advcl', 'det', 'amod', 'nsubj', 'case', 'punct', 'amod', 'nmod', 'punct', 'mark', 'acl', 'punct', 'obj', 'nsubj', 'aux', 'mark', 'advcl', 'csubj', 'mark', 'xcomp', 'acl:relcl', 'xcomp', 'det', 'punct', 'amod', 'amod', 'obj', 'punct', 'punct']
Here he identifies two basic orientations in translating based on two different types of equivalence:	['4', '3', '0', '4', '3', '-1', '3', '0', '-4', '5', '4', '3', '-2', '3', '0', '-11']	['advmod', 'nsubj', 'root', 'nummod', 'amod', 'obj', 'mark', 'acl', 'advcl', 'case', 'nummod', 'amod', 'obl', 'case', 'nmod', 'punct']
Formal Equivalence (F-E) and Dynamic Equivalence (D-E).	['3', '0', '3', '0', '1', '4', '3', '-4', '3', '0', '1', '-8']	['amod', 'root', 'punct', 'appos', 'punct', 'cc', 'amod', 'conj', 'punct', 'appos', 'punct', 'punct']
F-E focuses attention on the message itself, in both form and content.	['3', '0', '1', '4', '3', '-2', '1', '5', '4', '3', '-7', '3', '0', '-10']	['nsubj', 'root', 'obj', 'case', 'det', 'obl', 'nmod:npmod', 'punct', 'case', 'cc:preconj', 'obl', 'cc', 'conj', 'punct']
